"table_name","rows_count"
"agama","5"
"applications","2"
"app_installed","0"
"auth_assignment","210"
"auth_data","0"
"auth_header","0"
"auth_item","1188"
"auth_item_child","152"
"auth_rule","0"
"bacaditempat","0"
"bacaditempat_locations","0"
"backup","0"
"bibidavailable","0"
"bookinglogs","0"
"bookmark","0"
"branchs","43"
"cardformats","6"
"catalogfiles","0"
"catalogs","14097"
"catalogstaging","0"
"catalog_ruas","162989"
"catalog_subruas","147205"
"checkpoint_locations","0"
"collectioncategorys","3"
"collectioncategorysdefault","9"
"collectioncategorysloanhari","1"
"collectionloanextends","36"
"collectionloanitems","2200"
"collectionloans","31561"
"collectionlocations","0"
"collectionmedias","29"
"collectionrules","3"
"collectionrulesitems","0"
"collections","22927"
"collectionsources","7"
"collectionstatus","11"
"colloclib","0"
"currency","184"
"daemons","0"
"departments","3"
"djkn_data","0"
"favorite","0"
"fielddatas","865"
"fieldgroups","2"
"fieldindicator1s","302"
"fieldindicator2s","254"
"fields","138"
"formats","2"
"gammu","1"
"groupguesses","99"
"historydata","0"
"holidays","0"
"inbox","0"
"item_koleksi","116"
"jenis_anggota","4"
"jenis_denda","5"
"jenis_kelamin","2"
"jenis_pelanggaran","4"
"jenis_permohonan","2"
"jenis_perpustakaan","4"
"judul_koleksi","0"
"kabupaten","498"
"kata_sandang","9"
"kelas_siswa","0"
"kelompok_pelanggaran","0"
"keranjang_anggota","0"
"keranjang_katalog","15"
"keranjang_koleksi","29"
"kriteria_koleksi","0"
"library","2"
"librarysearchcriteria","9"
"locations","6"
"location_library","2"
"location_library_default","6"
"lockers","0"
"logsdownload","1"
"mailserver","0"
"masa_berlaku_anggota","0"
"master_djkn","0"
"master_fakultas","0"
"master_jam_buka","7"
"master_jenis_identitas","5"
"master_jenjang_pendidikan","0"
"master_jurusan","0"
"master_kelas_besar","10"
"master_kependudukan","2"
"master_loker","5"
"master_pekerjaan","11"
"master_pelanggaran_locker","3"
"master_pendidikan","9"
"master_program_studi","0"
"master_range_umur","8"
"master_status_perkawinan","2"
"master_uang_jaminan","0"
"memberguesses","41136"
"memberloanauthorizecategory","16117"
"memberloanauthorizelocation","10747"
"memberrules","2"
"members","5389"
"membersonline","1"
"members_form","148"
"members_form_list","44"
"members_info_form","53"
"members_loanreturn_form","16"
"members_loan_form","17"
"members_online_form","99"
"members_online_form_edit","28"
"member_fields","48"
"member_perpanjangan","236"
"menu","194"
"migration","0"
"modelhistory","344961"
"modules","276"
"notif_sms_gateway","0"
"notif_sms_gateway_hist","0"
"opacfields","32"
"opaclogs","5070"
"opaclogs_keyword","5063"
"outbox","5"
"outbox_multipart","0"
"partners","1"
"pbk","0"
"pbk_groups","0"
"pelanggaran","25"
"pengiriman","0"
"peraturan_peminjaman_hari","0"
"peraturan_peminjaman_tanggal","0"
"phones","0"
"propinsi","33"
"publishers","0"
"quarantined_auth_data","0"
"quarantined_auth_header","0"
"quarantined_catalogs","0"
"quarantined_catalog_ruas","0"
"quarantined_catalog_subruas","0"
"quarantined_collections","49"
"quarantined_pengiriman","0"
"readinlocation","0"
"refferenceitems","1417"
"refferences","139"
"requestcatalog","0"
"rfid_temp","0"
"rolemodule","776"
"roles","45"
"route","100"
"sentitems","0"
"session","21"
"settingcatalogdetail","18"
"settingparameters","98"
"smslogs","0"
"status_anggota","6"
"stockopname","0"
"stockopnamedetail","0"
"sumbangan","0"
"sumbangan_koleksi","0"
"survey","1"
"survey_isian","0"
"survey_pertanyaan","2"
"survey_pilihan","8"
"survey_pilihan_sesi","19"
"tempnoinduk","1519"
"tujuan_kunjungan","6"
"user","0"
"userloclibforcol","30"
"userloclibforloan","30"
"userlogs","0"
"users","17"
"v_abjadopac","26"
"v_lap_kriteria_anggota","30"
"v_lap_kriteria_koleksi","8971"
"v_pertumb_jml_kunjungan","30"
"v_pertumb_jml_kunjungan_bulanan","188"
"v_stat_anggota","173"
"v_stat_colectionloan","1"
"v_stat_jenis_pendidikan","104"
"v_stat_jumlah_koleksi","116"
"v_stat_kelas_subjek","10"
"v_stat_koleksi_dipinjam_eksemplar","6"
"v_stat_koleksi_dipinjam_judul","6"
"v_stat_pendidikan","9"
"v_stat_rangeumur_kunj","8"
"v_stat_rangeumur_kunj_bulanan","390"
"worksheetfielditems","263"
"worksheetfields","617"
"worksheets","15"
