"extension","files","size_mb"
".png","32738","123.4"
".jpg","11822","1323.24"
".js","9674","131.12"
".php","7475","53.35"
"[no extension]","4704","18.73"
".css","3501","62.29"
".html","1531","17.16"
".md","787","3.35"
".sample","720","1.13"
".data","660","71"
".svg","606","17.78"
".less","597","1.42"
".gif","594","4.09"
".dat","561","16.76"
".txt","421","6.68"
".ttf","395","183.04"
".json","304","0.67"
".jpeg","197","13.28"
".0","164","0.02"
".map","127","20.44"
".gitignore","108","0.01"
".scss","92","0.27"
".xlsx","88","1.48"
".ods","78","1"
".pack","70","292.35"
".idx","70","14.54"
".xml","70","1.24"
".eot","69","2.67"
".woff","68","2.15"
".yml","66","0.22"
".htmlt","44","0.01"
".htm","44","0.42"
".woff2","43","0.85"
".psd","39","12.34"
".bin","33","0.1"
".otf","31","21.92"
".sql","30","218.94"
".dist","29","0.02"
".gitattributes","28","0.01"
".rst","26","0.17"
".swf","22","0.54"
".phpt","20","0.01"
".htaccess","20","0.02"
".1","20","30"
".vtest","19","0"
".db","19","1.01"
".pdf","17","2.3"
".ico","16","0.06"
".x","16","0"
".editorconfig","13","0"
".bat","13","0.01"
".5","12","30.01"
".gitkeep","12","0"
".lock","10","0.55"
".2","10","30.02"
".6","10","0"
".ini","10","0"
".3","9","30.01"
".7","8","0"
".xsl","8","0.32"
".4","7","30.02"
".log","7","16.55"
".new","6","0"
".nuspec","6","0.01"
".master","6","0"
".jshintrc","6","0"
".crt","6","0.01"
".key","6","0.01"
".markdown","4","0.07"
".wmf","4","0.41"
".icc","4","5.25"
".php_cs","4","0"
".as","4","0.03"
".10","4","0"
".ser","4","0.11"
".mo","4","0"
".rar","4","12.46"
".sh","4","0"
".odt","4","0.07"
".docx","4","0.08"
".8","4","0"
".zip","4","0.27"
".graffle","3","0.01"
".xls","3","0.42"
".rb","3","0"
".mp3","3","0.05"
".ent","3","0.03"
".mime","3","1.32"
".inc","2","0"
".swc","2","0.25"
".ogg","2","0.04"
".csslintrc","2","0"
".py","2","0.01"
".bmp","2","1.84"
".0-wip","2","0"
".alpha","2","0"
".mine","2","0.01"
".default","2","0"
".dtd","2","0.04"
".1-old","2","0"
".beta","2","0"
".index","1","0.01"
".travis","1","0"
".placeholder","1","0"
".tif","1","0.46"
".css_t","1","0.01"
".conf","1","0"
".srl","1","0"
".priv","1","0"
".pub","1","0"
".empty","1","0"
".gnumeric","1","0.01"
".slk","1","0"
".ods#","1","0"
".89","1","0.01"
".bak","1","0"
".xlsx#","1","0"
".jscsrc","1","0"
".jshintignore","1","0"
".bowerrc","1","0"
".old","1","0.18"
".sublime-workspace","1","0.03"
".sublime-project","1","0"
".r2074","1","0"
".r261","1","0"
".r259","1","0"
".r2099","1","0"
".md-nobuild","1","0.01"
".npmignore","1","0"
".patch","1","0"
".pptx","1","0.08"
".odp","1","0.03"
".odg","1","0.02"
".odf","1","0.01"
".ts","1","0.02"
".eslintrc","1","0"
".DS_Store","1","0.01"
".coffee","1","0"
".in","1","0"
".htc","1","0"
".utf8","1","0"
