"folder","full_path","files","size_mb"
"uploaded_files","C:\xampp\htdocs\inlislite3\uploaded_files","13631","1417.86"
"vendor","C:\xampp\htdocs\inlislite3\vendor","41042","651.14"
"backend","C:\xampp\htdocs\inlislite3\backend","11220","471.42"
"opac","C:\xampp\htdocs\inlislite3\opac","600","87.96"
"frontend","C:\xampp\htdocs\inlislite3\frontend","266","56.87"
"guestbook","C:\xampp\htdocs\inlislite3\guestbook","4084","42.47"
"assets","C:\xampp\htdocs\inlislite3\assets","3762","34.17"
"bacaditempat","C:\xampp\htdocs\inlislite3\bacaditempat","2435","26.8"
"digitalcollection","C:\xampp\htdocs\inlislite3\digitalcollection","279","18.59"
"inliscore","C:\xampp\htdocs\inlislite3\inliscore","824","17.05"
"keanggotaan","C:\xampp\htdocs\inlislite3\keanggotaan","315","7.78"
"common","C:\xampp\htdocs\inlislite3\common","610","2.46"
"environments","C:\xampp\htdocs\inlislite3\environments","58","0.03"
"api","C:\xampp\htdocs\inlislite3\api","18","0.01"
"console","C:\xampp\htdocs\inlislite3\console","11","0.01"
